股票代码,股票简称,最新价,最新涨跌幅,涨停[20250324],首次涨停时间[20250324],最终涨停时间[20250324],涨停明细数据[20250324],连续涨停天数[20250324],涨停原因类别[20250324],涨停封单量[20250324],涨停封单额[20250324],涨停封单量占成交量比[20250324],涨停封单量占流通a股比[20250324],涨停开板次数[20250324],a股市值(不含限售股)[20250324],几天几板[20250324],涨停类型[20250324],market_code,code
002630.SZ,华西能源,5.09,9.935205184,涨停, 13:00:00, 13:00:00,"[{""code"":""002630.SZ"",""time"":1742792400000,""openTime"":null,""duration"":702000,""updatedTime"":1742793102000,""firstVol"":6.2670048E7,""highestVol"":1.3700213E8,""firstVolDivLTGB"":0.059140062812417266,""firstVolDivVol"":0.508775,""highestVolDivLTGB"":0.12928527793109326,""highestVolDivVol"":1.092078}]",1,其它,116673828,593766966.52,91.95705905230088,11.00829360656682,0,5393814800.000,首板涨停,放量涨停,33,002630
603011.SH,合锻智能,10.22,10.010764263,涨停, 09:35:39, 09:35:39,"[{""code"":""603011.SH"",""time"":1742780139000,""openTime"":null,""duration"":7575000,""updatedTime"":1742793102000,""firstVol"":3.14879E7,""highestVol"":3.51928E7,""firstVolDivLTGB"":0.06368725838804744,""firstVolDivVol"":0.758717,""highestVolDivLTGB"":0.07118076934310881,""highestVolDivVol"":0.811743}]",1,核聚变+机器人+液压机+机器视觉,15326200,156633764,30.684363901876583,3.099869027489584,0,5052915500.000,首板涨停,放量涨停,17,603011
300697.SZ,电工合金,17.34,20,涨停, 10:12:21, 10:12:21,"[{""code"":""300697.SZ"",""time"":1742782341000,""openTime"":null,""duration"":5379000,""updatedTime"":1742793090000,""firstVol"":5.4733776E7,""highestVol"":6.1669676E7,""firstVolDivLTGB"":0.21481073783359497,""firstVolDivVol"":1.421032,""highestVolDivLTGB"":0.24203169544740974,""highestVolDivVol"":1.590489}]",1,铜合金产品+轨道交通+国企,25321400,439073076,59.96196935288699,9.937755102040818,0,4418232000.000,首板涨停,放量涨停,33,300697
000422.SZ,湖北宜化,14.74,10,涨停, 10:31:15, 10:31:15,"[{""code"":""000422.SZ"",""time"":1742783475000,""openTime"":null,""duration"":4278000,""updatedTime"":1742793102000,""firstVol"":1.07504861E8,""highestVol"":1.308708E8,""firstVolDivLTGB"":0.1016289600080814,""firstVolDivVol"":1.353935,""highestVolDivLTGB"":0.1237177851839241,""highestVolDivVol"":1.577626}]",1,季戊四醇+化肥+光引发剂+华为合作,43499200,641178208,43.499403334069264,4.112166106780543,0,15592225000.000,首板涨停,放量涨停,33,000422
603072.SH,天和磁材,44.86,10.004904365,涨停, 09:53:25, 09:53:25,"[{""code"":""603072.SH"",""time"":1742781205000,""openTime"":null,""duration"":6494000,""updatedTime"":1742793096000,""firstVol"":69953.0,""highestVol"":1.0889053E7,""firstVolDivLTGB"":0.0010804281975743042,""firstVolDivVol"":0.006187,""highestVolDivLTGB"":0.16818206375825295,""highestVolDivVol"":0.929243}]",1,机器人+稀土永磁+次新股,5995224,268945748.64,44.31576392902558,9.25965871424272,0,2904488800.000,首板涨停,缩量涨停,17,603072
600470.SH,六国化工,6.64,9.933774834,涨停, 10:40:52, 10:47:10,"[{""code"":""600470.SH"",""time"":1742784052000,""openTime"":1742784202000,""duration"":147000,""updatedTime"":1742784202000,""firstVol"":5.5620106E7,""highestVol"":7.7160706E7,""firstVolDivLTGB"":0.10663363880368099,""firstVolDivVol"":1.154751,""highestVolDivLTGB"":0.1479308013803681,""highestVolDivVol"":1.580368},{""code"":""600470.SH"",""time"":1742784304000,""openTime"":1742784394000,""duration"":87000,""updatedTime"":1742784394000,""firstVol"":3.82549E7,""highestVol"":7.00348E7,""firstVolDivLTGB"":0.07334144938650307,""firstVolDivVol"":0.589875,""highestVolDivLTGB"":0.1342691717791411,""highestVolDivVol"":1.047232},{""code"":""600470.SH"",""time"":1742784430000,""openTime"":null,""duration"":3294000,""updatedTime"":1742793097000,""firstVol"":5.63435E7,""highestVol"":6.21636E7,""firstVolDivLTGB"":0.10802051380368098,""firstVolDivVol"":0.769825,""highestVolDivLTGB"":0.11917868098159509,""highestVolDivVol"":0.846506}]",1,年报净利增长+磷化工+化肥,31062310,206253738.4,37.716793661582564,5.955197469325153,2,3463424000.000,首板涨停,放量涨停,17,600470
002310.SZ,*ST东园,2.12,4.95049505,涨停, 10:15:51, 10:18:27,"[{""code"":""002310.SZ"",""time"":1742782551000,""openTime"":1742782623000,""duration"":69000,""updatedTime"":1742782623000,""firstVol"":3355000.0,""highestVol"":6443400.0,""firstVolDivLTGB"":7.989819798847383E-4,""firstVolDivVol"":0.048413,""highestVolDivLTGB"":0.0015344740653321378,""highestVolDivVol"":0.091155},{""code"":""002310.SZ"",""time"":1742782707000,""openTime"":null,""duration"":5046000,""updatedTime"":1742793102000,""firstVol"":732400.0,""highestVol"":9720725.0,""firstVolDivLTGB"":1.7441859972208116E-4,""firstVolDivVol"":0.009971,""highestVolDivLTGB"":0.002314958004892719,""highestVolDivVol"":0.129909}]",2,ST板块+重整+股东变更+环保,9112925,19319401,11.770051722912491,0.21702124766143452,1,8902078100.000,2天2板,放量涨停,33,002310
301055.SZ,张小泉,19.04,19.974795211,涨停, 09:34:06, 09:34:06,"[{""code"":""301055.SZ"",""time"":1742780046000,""openTime"":null,""duration"":7695000,""updatedTime"":1742793093000,""firstVol"":4.1643471E7,""highestVol"":4.2512671E7,""firstVolDivLTGB"":0.26694532692307693,""firstVolDivVol"":9.037351,""highestVolDivLTGB"":0.2725171217948718,""highestVolDivVol"":8.712275}]",1,刀剪+中华老字号+电商,12402393,236141562.72,164.4376581329824,7.950251923076923,0,2970240000.000,首板涨停,放量涨停,33,301055
000584.SZ,*ST工智,2.76,4.942965779,涨停, 09:58:33, 11:18:42,"[{""code"":""000584.SZ"",""time"":1742781513000,""openTime"":1742782770000,""duration"":1254000,""updatedTime"":1742782770000,""firstVol"":2259896.0,""highestVol"":6006996.0,""firstVolDivLTGB"":0.0029779958712245784,""firstVolDivVol"":0.167174,""highestVolDivLTGB"":0.007915766604508595,""highestVolDivVol"":0.441314},{""code"":""000584.SZ"",""time"":1742782779000,""openTime"":1742782803000,""duration"":21000,""updatedTime"":1742782803000,""firstVol"":2200.0,""highestVol"":79700.0,""firstVolDivLTGB"":2.8990674423487067E-6,""firstVolDivVol"":1.35E-4,""highestVolDivLTGB"":1.050253068887236E-4,""highestVolDivVol"":0.0049},{""code"":""000584.SZ"",""time"":1742782815000,""openTime"":1742784102000,""duration"":1284000,""updatedTime"":1742784102000,""firstVol"":45900.0,""highestVol"":2673700.0,""firstVolDivLTGB"":6.0485088910820744E-5,""firstVolDivVol"":0.002802,""highestVolDivLTGB"":0.0035232893730035167,""highestVolDivVol"":0.162711},{""code"":""000584.SZ"",""time"":1742784132000,""openTime"":1742784882000,""duration"":747000,""updatedTime"":1742784882000,""firstVol"":53700.0,""highestVol"":1767200.0,""firstVolDivLTGB"":7.076360075187525E-5,""firstVolDivVol"":0.002975,""highestVolDivLTGB"":0.0023287418109630155,""highestVolDivVol"":0.096058},{""code"":""000584.SZ"",""time"":1742786322000,""openTime"":null,""duration"":1386000,""updatedTime"":1742793102000,""firstVol"":14700.0,""highestVol"":1253200.0,""firstVolDivLTGB"":1.937104154660272E-5,""firstVolDivVol"":6.97E-4,""highestVolDivLTGB"":0.0016514142357960905,""highestVolDivVol"":0.058304}]",1,机器人+ST板块+重大资产重组+控股股东或将变更,678100,1871556,3.097307904561808,0.08935716512075718,4,2094466600.000,首板涨停,放量涨停,33,000584
688178.SH,万德斯,20.48,19.976567077,涨停, 09:25:04, 09:25:04,"[{""code"":""688178.SH"",""time"":1742779504000,""openTime"":null,""duration"":7896000,""updatedTime"":1742793091000,""firstVol"":1.9273124E7,""highestVol"":1.9273124E7,""firstVolDivLTGB"":0.2267483867002556,""firstVolDivVol"":41.142153,""highestVolDivLTGB"":0.2267483867002556,""highestVolDivVol"":41.142153}]",1,股权转让+复牌+固废处理+污水处理,9278397,190021570.56,617.9188122187918,10.916038058565345,0,1740755800.000,首板涨停,一字涨停||放量涨停,17,688178
